name,lat,lon,since_year,ward_hint,source_url,notes
T Nagar Usman Road,13.0418,80.2341,2015,T Nagar,https://chennaicorporation.gov.in/,2015 flood memory; commercial drain choke
Velachery bypass,12.9816,80.2209,2015,Velachery,https://chennaicorporation.gov.in/,Pallikaranai marsh edge
Madipakkam tank bund,12.9622,80.1980,2015,Madipakkam,https://chennaicorporation.gov.in/,Southern suburb inundation
Pallikaranai marsh,12.9340,80.2070,2015,Pallikaranai,https://chennaicorporation.gov.in/,Marsh overflow
Anna Nagar 2nd Avenue,13.0850,80.2101,2015,Anna Nagar,https://chennaicorporation.gov.in/,West arterial
Adyar river bank,13.0067,80.2570,2015,Adyar,https://chennaicorporation.gov.in/,Riverine flooding
Porur lake approach,13.0370,80.1560,2015,Porur,https://chennaicorporation.gov.in/,West suburb
Tambaram GST Road,12.9249,80.1000,2015,Tambaram,https://chennaicorporation.gov.in/,Southern radial
Saidapet bridge,13.0213,80.2231,2015,Saidapet,https://chennaicorporation.gov.in/,Adyar crossing
Kodambakkam subway,13.0521,80.2214,2015,Kodambakkam,https://chennaicorporation.gov.in/,Railway subway
Perambur bazaar,13.1210,80.2326,2015,Perambur,https://chennaicorporation.gov.in/,North industrial
Tondiarpet harbour road,13.1260,80.2890,2015,Tondiarpet,https://chennaicorporation.gov.in/,Coastal north
Besant Nagar 2nd Ave,12.9990,80.2660,2015,Besant Nagar,https://chennaicorporation.gov.in/,Beach-side drain
Ambattur industrial estate,13.1143,80.1548,2015,Ambattur,https://chennaicorporation.gov.in/,West industrial
Chembarambakkam approach,13.0110,80.0600,2015,Poonamallee,https://chennaicorporation.gov.in/,Reservoir release corridor
