name,lat,lon,since_year,ward_hint,source_url,notes
Howrah station approach,22.5830,88.3426,2017,Howrah,https://www.kmcgov.in/,Hooghly-side waterlogging
Sealdah station plaza,22.5667,88.3710,2017,Sealdah,https://www.kmcgov.in/,Central transit dip
Salt Lake Sector V,22.5760,88.4340,2021,Bidhannagar,https://www.kmcgov.in/,East IT / drainage stress
Behala chowrasta,22.5010,88.3100,2017,Behala,https://www.kmcgov.in/,South-west arterial
Tollygunge metro,22.4980,88.3450,2017,Tollygunge,https://www.kmcgov.in/,Canal-side
Park Circus 7-point,22.5430,88.3680,2017,Park Circus,https://www.kmcgov.in/,Central junction
Rashbehari crossing,22.5180,88.3630,2017,Rashbehari,https://www.kmcgov.in/,South Calcutta drain
Gariahat market,22.5190,88.3660,2017,Gariahat,https://www.kmcgov.in/,Market low point
New Town Action Area,22.5790,88.4790,2021,New Town,https://www.kmcgov.in/,East township
Dum Dum station road,22.6210,88.3950,2017,Dum Dum,https://www.kmcgov.in/,North approach
Garden Reach dock,22.5470,88.2900,2017,Garden Reach,https://www.kmcgov.in/,Port-side
Ballygunge Phari,22.5280,88.3630,2017,Ballygunge,https://www.kmcgov.in/,South junction
Esplanade Dharmatala,22.5640,88.3510,2017,Esplanade,https://www.kmcgov.in/,CBD drain
Jadavpur 8B bus stand,22.4990,88.3710,2017,Jadavpur,https://www.kmcgov.in/,South academic node
EM Bypass Science City,22.5200,88.4000,2021,EM Bypass,https://www.kmcgov.in/,Eastern bypass dip
