name,lat,lon,since_year,ward_hint,source_url,notes
Sinhagad Road – Vitthalwadi underpass,18.4805,73.8250,2019,Sinhagad Road,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,Chronic corridor; 2019 Ambil Odha event context
Ambil Odha – Sinhagad Road confluence,18.4820,73.8300,2019,Sinhagad Road,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,Named in monsoon coverage; hand-placed near confluence
Katraj junction,18.4575,73.8672,2019,Dhankawadi-Sahakarnagar,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,Known low-lying / traffic waterlogging node
Baner – Balewadi Road,18.5628310,73.7768430,2025,Aundh-Baner,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,Ward cluster Aundh-Baner (9 spots in HT 2025)
Hadapsar – Mundhwa Road,18.5202399,73.9317739,2025,Hadapsar-Mundhwa,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,HT: highest ward count (18 spots)
Kondhwa,18.4779905,73.8940627,2025,Kondhwa-Yewalewadi,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,HT ward cluster (12 spots)
Wanowrie / Wanawadi,18.4883683,73.8986672,2025,Wanowrie,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,HT ward cluster (14 spots)
Bibwewadi,18.4752329,73.8562486,2025,Bibwewadi,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,HT ward cluster (13 spots)
Aundh – Baner Road,18.5601612,73.8003901,2025,Aundh-Baner,https://www.hindustantimes.com/cities/pune-news/pmc-identifies-28-new-flood-prone-spots-across-city-after-first-spell-of-rain-101748372179789.html,Zone 2 new spots after first rains 2025
Shivajinagar,18.5325915,73.8513115,2025,Shivajinagar-Ghole Road,https://www.hindustantimes.com/cities/pune-news/pmc-identifies-28-new-flood-prone-spots-across-city-after-first-spell-of-rain-101748372179789.html,Zone 2 waterlogging cluster
Dhanori,18.5906707,73.8913189,2019,Yerawada-Kalas-Dhanori,https://www.hindustantimes.com/cities/pune-news/pune-civic-body-begins-monsoon-preparedness-to-act-on-201-flood-prone-spots-101745433680626.html,Recurring monsoon corridor
