spot_name,lat,lon,low_point_score,method
Sinhagad Road – Vitthalwadi underpass,18.4805,73.8250,0.92,proxy_v1_until_DEM
Ambil Odha – Sinhagad Road confluence,18.4820,73.8300,0.88,proxy_v1_until_DEM
Katraj junction,18.4575,73.8672,0.80,proxy_v1_until_DEM
Baner – Balewadi Road,18.5628310,73.7768430,0.80,proxy_v1_until_DEM
Hadapsar – Mundhwa Road,18.5202399,73.9317739,0.85,proxy_v1_until_DEM
Kondhwa,18.4779905,73.8940627,0.65,proxy_v1_until_DEM
Wanowrie / Wanawadi,18.4883683,73.8986672,0.70,proxy_v1_until_DEM
Bibwewadi,18.4752329,73.8562486,0.75,proxy_v1_until_DEM
Aundh – Baner Road,18.5601612,73.8003901,0.80,proxy_v1_until_DEM
Shivajinagar,18.5325915,73.8513115,0.85,proxy_v1_until_DEM
Dhanori,18.5906707,73.8913189,0.80,proxy_v1_until_DEM
Swargate,18.5004949,73.8529037,0.70,proxy_v1_until_DEM
Kharadi,18.5512763,73.9416575,0.75,proxy_v1_until_DEM
Hinjewadi / Wakad approach,18.5920497,73.7579029,0.80,proxy_v1_until_DEM
Warje – Karvenagar,18.4820,73.8020,0.85,proxy_v1_until_DEM
Kothrud Paud Road dip,18.5074,73.8077,0.65,proxy_v1_until_DEM
Karvenagar lane waterlogging,18.4890,73.8150,0.70,proxy_v1_until_DEM
Sahakarnagar junction,18.4680,73.8580,0.75,proxy_v1_until_DEM
Yerawada low stretch,18.5600,73.8900,0.80,proxy_v1_until_DEM
Dhole Patil Road dip,18.5390,73.8980,0.85,proxy_v1_until_DEM
Kasba Peth nalla mouth,18.5190,73.8570,0.88,proxy_v1_until_DEM
Bhavani Peth choke point,18.5100,73.8650,0.70,proxy_v1_until_DEM
Ramtekdi industrial dip,18.5040,73.9200,0.75,proxy_v1_until_DEM
Mundhwa village road,18.5320,73.9460,0.80,proxy_v1_until_DEM
Balewadi high street dip,18.5780,73.7700,0.85,proxy_v1_until_DEM
Pashan Sus Road low point,18.5430,73.7820,0.65,proxy_v1_until_DEM
NIBM Kondhwa Road,18.4700,73.9000,0.70,proxy_v1_until_DEM
